function_name,code,language,lines_of_code,cyclomatic_complexity,token_count,num_ifs,num_returns,num_func_calls,ast_nodes,defect
cpp_func_76,"int divide(int a, int b) { return a / b; }",cpp,6,1,11,0,1,1,11,1
rust_func_77,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,3,3,12,0,0,1,12,0
cpp_func_78,"int add(int a, int b) { return a + b; }",cpp,5,3,11,0,1,1,11,0
cpp_func_79,"int divide(int a, int b) { return a / b; }",cpp,5,5,11,0,1,1,11,1
cpp_func_80,"int add(int a, int b) { return a + b; }",cpp,6,2,11,0,1,1,11,0
java_func_81,"public int add(int a, int b) { return a + b; }",java,5,3,12,0,1,1,12,0
cpp_func_82,"int add(int a, int b) { return a + b; }",cpp,1,2,11,0,1,1,11,0
cpp_func_83,"int divide(int a, int b) { return a / b; }",cpp,2,1,11,0,1,1,11,1
cpp_func_84,"int divide(int a, int b) { return a / b; }",cpp,5,3,11,0,1,1,11,1
go_func_85,"func add(a int, b int) int { return a + b }",go,3,4,12,0,1,1,12,0
go_func_86,"func add(a int, b int) int { return a + b }",go,4,1,12,0,1,1,12,0
go_func_87,"func add(a int, b int) int { return a + b }",go,3,4,12,0,1,1,12,0
rust_func_88,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,1,2,12,0,0,1,12,1
python_func_89,"def divide(a, b): return a / b",python,1,4,12,0,1,0,12,1
javascript_func_90,"function divide(a, b) { return a / b; }",javascript,4,2,9,0,1,1,9,1
go_func_91,"func divide(a int, b int) int { return a / b }",go,5,3,12,0,1,1,12,1
cpp_func_92,"int add(int a, int b) { return a + b; }",cpp,1,1,11,0,1,1,11,0
rust_func_93,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,4,1,12,0,0,1,12,1
c_func_94,"int divide(int a, int b) { return a / b; }",c,4,5,11,0,1,1,11,1
cpp_func_95,"int divide(int a, int b) { return a / b; }",cpp,5,3,11,0,1,1,11,1
javascript_func_96,"function add(a, b) { return a + b; }",javascript,5,4,9,0,1,1,9,0
cpp_func_97,"int add(int a, int b) { return a + b; }",cpp,4,4,11,0,1,1,11,0
go_func_98,"func divide(a int, b int) int { return a / b }",go,1,4,12,0,1,1,12,1
java_func_99,"public int add(int a, int b) { return a + b; }",java,1,2,12,0,1,1,12,0
javascript_func_100,"function divide(a, b) { return a / b; }",javascript,2,1,9,0,1,1,9,1
python_func_101,def read_file(name): file = open(name); return file.read(),python,5,4,18,0,1,2,18,1
rust_func_102,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,2,3,12,0,0,1,12,0
javascript_func_103,"function add(a, b) { return a + b; }",javascript,1,2,9,0,1,1,9,0
java_func_104,"public int add(int a, int b) { return a + b; }",java,5,3,12,0,1,1,12,0
python_func_105,"def divide(a, b): return a / b",python,6,1,12,0,1,0,12,1
java_func_106,"public int add(int a, int b) { return a + b; }",java,4,5,12,0,1,1,12,0
python_func_107,"def add(a, b): return a + b",python,4,4,12,0,1,0,12,0
java_func_108,"public int add(int a, int b) { return a + b; }",java,6,2,12,0,1,1,12,0
javascript_func_109,"function divide(a, b) { return a / b; }",javascript,5,5,9,0,1,1,9,1
cpp_func_110,"int add(int a, int b) { return a + b; }",cpp,4,4,11,0,1,1,11,0
java_func_111,"public int add(int a, int b) { return a + b; }",java,3,5,12,0,1,1,12,0
cpp_func_112,"int divide(int a, int b) { return a / b; }",cpp,2,3,11,0,1,1,11,1
c_func_113,"int divide(int a, int b) { return a / b; }",c,2,4,11,0,1,1,11,1
go_func_114,"func divide(a int, b int) int { return a / b }",go,2,2,12,0,1,1,12,1
javascript_func_115,"function divide(a, b) { return a / b; }",javascript,1,2,9,0,1,1,9,1
go_func_116,"func add(a int, b int) int { return a + b }",go,2,4,12,0,1,1,12,0
cpp_func_117,"int divide(int a, int b) { return a / b; }",cpp,1,2,11,0,1,1,11,1
rust_func_118,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,1,4,12,0,0,1,12,0
cpp_func_119,"int add(int a, int b) { return a + b; }",cpp,4,5,11,0,1,1,11,0
python_func_120,"def add(a, b): return a + b",python,4,4,12,0,1,0,12,0
javascript_func_121,"function add(a, b) { return a + b; }",javascript,4,3,9,0,1,1,9,0
c_func_122,"int divide(int a, int b) { return a / b; }",c,2,3,11,0,1,1,11,1
java_func_123,"public int add(int a, int b) { return a + b; }",java,5,3,12,0,1,1,12,0
go_func_124,"func add(a int, b int) int { return a + b }",go,2,4,12,0,1,1,12,0
javascript_func_125,"function divide(a, b) { return a / b; }",javascript,4,2,9,0,1,1,9,1
python_func_126,"def divide(a, b): return a / b",python,1,5,12,0,1,0,12,1
cpp_func_127,"int add(int a, int b) { return a + b; }",cpp,6,2,11,0,1,1,11,0
javascript_func_128,"function add(a, b) { return a + b; }",javascript,6,5,9,0,1,1,9,0
javascript_func_129,"function add(a, b) { return a + b; }",javascript,4,4,9,0,1,1,9,0
cpp_func_130,"int divide(int a, int b) { return a / b; }",cpp,6,5,11,0,1,1,11,1
java_func_131,"public int divide(int a, int b) { return a / b; }",java,4,2,12,0,1,1,12,1
cpp_func_132,"int divide(int a, int b) { return a / b; }",cpp,1,3,11,0,1,1,11,1
go_func_133,"func add(a int, b int) int { return a + b }",go,2,1,12,0,1,1,12,0
python_func_134,def read_file(name): file = open(name); return file.read(),python,1,2,18,0,1,2,18,1
javascript_func_135,"function add(a, b) { return a + b; }",javascript,6,5,9,0,1,1,9,0
go_func_136,"func add(a int, b int) int { return a + b }",go,1,4,12,0,1,1,12,0
javascript_func_137,"function add(a, b) { return a + b; }",javascript,4,1,9,0,1,1,9,0
java_func_138,"public int add(int a, int b) { return a + b; }",java,1,5,12,0,1,1,12,0
python_func_139,def read_file(name): file = open(name); return file.read(),python,2,3,18,0,1,2,18,1
go_func_140,"func add(a int, b int) int { return a + b }",go,4,4,12,0,1,1,12,0
python_func_141,"def add(a, b): return a + b",python,6,1,12,0,1,0,12,0
python_func_142,"def add(a, b): return a + b",python,2,2,12,0,1,0,12,0
java_func_143,"public int add(int a, int b) { return a + b; }",java,1,3,12,0,1,1,12,0
javascript_func_144,"function add(a, b) { return a + b; }",javascript,5,3,9,0,1,1,9,0
java_func_145,"public int divide(int a, int b) { return a / b; }",java,4,3,12,0,1,1,12,1
python_func_146,def read_file(name): file = open(name); return file.read(),python,2,2,18,0,1,2,18,1
python_func_147,def read_file(name): file = open(name); return file.read(),python,1,1,18,0,1,2,18,1
rust_func_148,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,3,3,12,0,0,1,12,1
c_func_149,"int divide(int a, int b) { return a / b; }",c,1,3,11,0,1,1,11,1
c_func_150,"int divide(int a, int b) { return a / b; }",c,5,3,11,0,1,1,11,1
rust_func_151,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,6,1,12,0,0,1,12,0
java_func_152,"public int add(int a, int b) { return a + b; }",java,6,1,12,0,1,1,12,0
javascript_func_153,"function add(a, b) { return a + b; }",javascript,1,2,9,0,1,1,9,0
rust_func_154,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,1,2,12,0,0,1,12,0
rust_func_155,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,5,3,12,0,0,1,12,0
c_func_156,"int divide(int a, int b) { return a / b; }",c,6,2,11,0,1,1,11,1
c_func_157,"int add(int a, int b) { return a + b; }",c,4,4,11,0,1,1,11,0
c_func_158,"int divide(int a, int b) { return a / b; }",c,5,5,11,0,1,1,11,1
c_func_159,"int add(int a, int b) { return a + b; }",c,3,4,11,0,1,1,11,0
go_func_160,"func add(a int, b int) int { return a + b }",go,1,1,12,0,1,1,12,0
c_func_161,"int divide(int a, int b) { return a / b; }",c,1,4,11,0,1,1,11,1
cpp_func_162,"int add(int a, int b) { return a + b; }",cpp,1,1,11,0,1,1,11,0
python_func_163,def read_file(name): file = open(name); return file.read(),python,1,5,18,0,1,2,18,1
python_func_164,def read_file(name): file = open(name); return file.read(),python,2,2,18,0,1,2,18,1
rust_func_165,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,5,1,12,0,0,1,12,1
python_func_166,"def divide(a, b): return a / b",python,5,2,12,0,1,0,12,1
java_func_167,"public int divide(int a, int b) { return a / b; }",java,4,4,12,0,1,1,12,1
javascript_func_168,"function add(a, b) { return a + b; }",javascript,4,1,9,0,1,1,9,0
cpp_func_169,"int divide(int a, int b) { return a / b; }",cpp,6,5,11,0,1,1,11,1
javascript_func_170,"function add(a, b) { return a + b; }",javascript,3,4,9,0,1,1,9,0
python_func_171,def read_file(name): file = open(name); return file.read(),python,6,4,18,0,1,2,18,1
python_func_172,def read_file(name): file = open(name); return file.read(),python,4,4,18,0,1,2,18,1
java_func_173,"public int add(int a, int b) { return a + b; }",java,5,2,12,0,1,1,12,0
go_func_174,"func divide(a int, b int) int { return a / b }",go,4,1,12,0,1,1,12,1
c_func_175,"int add(int a, int b) { return a + b; }",c,2,5,11,0,1,1,11,0
python_func_176,"def divide(a, b): return a / b",python,6,5,12,0,1,0,12,1
go_func_177,"func divide(a int, b int) int { return a / b }",go,2,5,12,0,1,1,12,1
c_func_178,"int divide(int a, int b) { return a / b; }",c,1,1,11,0,1,1,11,1
python_func_179,"def divide(a, b): return a / b",python,4,4,12,0,1,0,12,1
c_func_180,"int add(int a, int b) { return a + b; }",c,1,1,11,0,1,1,11,0
rust_func_181,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,6,1,12,0,0,1,12,0
rust_func_182,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,4,2,12,0,0,1,12,1
python_func_183,def read_file(name): file = open(name); return file.read(),python,2,4,18,0,1,2,18,1
rust_func_184,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,1,3,12,0,0,1,12,0
cpp_func_185,"int add(int a, int b) { return a + b; }",cpp,3,4,11,0,1,1,11,0
c_func_186,"int add(int a, int b) { return a + b; }",c,3,1,11,0,1,1,11,0
go_func_187,"func add(a int, b int) int { return a + b }",go,4,1,12,0,1,1,12,0
rust_func_188,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,2,2,12,0,0,1,12,0
cpp_func_189,"int add(int a, int b) { return a + b; }",cpp,4,1,11,0,1,1,11,0
go_func_190,"func add(a int, b int) int { return a + b }",go,5,3,12,0,1,1,12,0
cpp_func_191,"int add(int a, int b) { return a + b; }",cpp,3,3,11,0,1,1,11,0
rust_func_192,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,2,3,12,0,0,1,12,1
c_func_193,"int add(int a, int b) { return a + b; }",c,6,4,11,0,1,1,11,0
cpp_func_194,"int add(int a, int b) { return a + b; }",cpp,3,1,11,0,1,1,11,0
rust_func_195,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,5,5,12,0,0,1,12,0
rust_func_196,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,6,3,12,0,0,1,12,0
rust_func_197,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,1,3,12,0,0,1,12,1
python_func_198,"def divide(a, b): return a / b",python,5,4,12,0,1,0,12,1
javascript_func_199,"function divide(a, b) { return a / b; }",javascript,1,5,9,0,1,1,9,1
java_func_200,"public int add(int a, int b) { return a + b; }",java,4,4,12,0,1,1,12,0
cpp_func_201,"int divide(int a, int b) { return a / b; }",cpp,1,1,11,0,1,1,11,1
python_func_202,"def add(a, b): return a + b",python,5,5,12,0,1,0,12,0
rust_func_203,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,4,5,12,0,0,1,12,0
cpp_func_204,"int divide(int a, int b) { return a / b; }",cpp,2,2,11,0,1,1,11,1
javascript_func_205,"function divide(a, b) { return a / b; }",javascript,5,1,9,0,1,1,9,1
rust_func_206,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,3,3,12,0,0,1,12,0
java_func_207,"public int add(int a, int b) { return a + b; }",java,5,3,12,0,1,1,12,0
python_func_208,"def divide(a, b): return a / b",python,4,1,12,0,1,0,12,1
java_func_209,"public int divide(int a, int b) { return a / b; }",java,5,4,12,0,1,1,12,1
javascript_func_210,"function divide(a, b) { return a / b; }",javascript,4,3,9,0,1,1,9,1
java_func_211,"public int add(int a, int b) { return a + b; }",java,1,3,12,0,1,1,12,0
java_func_212,"public int add(int a, int b) { return a + b; }",java,2,1,12,0,1,1,12,0
go_func_213,"func divide(a int, b int) int { return a / b }",go,1,2,12,0,1,1,12,1
go_func_214,"func add(a int, b int) int { return a + b }",go,3,2,12,0,1,1,12,0
cpp_func_215,"int divide(int a, int b) { return a / b; }",cpp,1,2,11,0,1,1,11,1
javascript_func_216,"function divide(a, b) { return a / b; }",javascript,2,4,9,0,1,1,9,1
go_func_217,"func add(a int, b int) int { return a + b }",go,4,2,12,0,1,1,12,0
java_func_218,"public int add(int a, int b) { return a + b; }",java,6,5,12,0,1,1,12,0
java_func_219,"public int add(int a, int b) { return a + b; }",java,5,2,12,0,1,1,12,0
rust_func_220,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,1,3,12,0,0,1,12,1
c_func_221,"int divide(int a, int b) { return a / b; }",c,3,2,11,0,1,1,11,1
java_func_222,"public int add(int a, int b) { return a + b; }",java,4,3,12,0,1,1,12,0
javascript_func_223,"function divide(a, b) { return a / b; }",javascript,3,1,9,0,1,1,9,1
python_func_224,"def add(a, b): return a + b",python,4,5,12,0,1,0,12,0
c_func_225,"int divide(int a, int b) { return a / b; }",c,4,5,11,0,1,1,11,1
javascript_func_226,"function add(a, b) { return a + b; }",javascript,3,5,9,0,1,1,9,0
c_func_227,"int divide(int a, int b) { return a / b; }",c,6,5,11,0,1,1,11,1
javascript_func_228,"function divide(a, b) { return a / b; }",javascript,4,5,9,0,1,1,9,1
c_func_229,"int divide(int a, int b) { return a / b; }",c,6,3,11,0,1,1,11,1
go_func_230,"func divide(a int, b int) int { return a / b }",go,5,3,12,0,1,1,12,1
c_func_231,"int divide(int a, int b) { return a / b; }",c,4,4,11,0,1,1,11,1
cpp_func_232,"int divide(int a, int b) { return a / b; }",cpp,6,5,11,0,1,1,11,1
javascript_func_233,"function add(a, b) { return a + b; }",javascript,2,5,9,0,1,1,9,0
python_func_234,"def divide(a, b): return a / b",python,4,1,12,0,1,0,12,1
c_func_235,"int divide(int a, int b) { return a / b; }",c,2,5,11,0,1,1,11,1
rust_func_236,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,4,1,12,0,0,1,12,0
python_func_237,"def divide(a, b): return a / b",python,1,2,12,0,1,0,12,1
cpp_func_238,"int add(int a, int b) { return a + b; }",cpp,1,4,11,0,1,1,11,0
java_func_239,"public int add(int a, int b) { return a + b; }",java,3,2,12,0,1,1,12,0
rust_func_240,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,6,3,12,0,0,1,12,1
java_func_241,"public int add(int a, int b) { return a + b; }",java,6,3,12,0,1,1,12,0
go_func_242,"func add(a int, b int) int { return a + b }",go,6,5,12,0,1,1,12,0
cpp_func_243,"int add(int a, int b) { return a + b; }",cpp,4,5,11,0,1,1,11,0
go_func_244,"func divide(a int, b int) int { return a / b }",go,3,4,12,0,1,1,12,1
java_func_245,"public int add(int a, int b) { return a + b; }",java,3,3,12,0,1,1,12,0
rust_func_246,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,1,3,12,0,0,1,12,0
go_func_247,"func divide(a int, b int) int { return a / b }",go,6,3,12,0,1,1,12,1
python_func_248,"def divide(a, b): return a / b",python,4,1,12,0,1,0,12,1
c_func_249,"int divide(int a, int b) { return a / b; }",c,5,3,11,0,1,1,11,1
c_func_250,"int add(int a, int b) { return a + b; }",c,1,2,11,0,1,1,11,0
go_func_251,"func add(a int, b int) int { return a + b }",go,4,1,12,0,1,1,12,0
java_func_252,"public int divide(int a, int b) { return a / b; }",java,5,2,12,0,1,1,12,1
go_func_253,"func add(a int, b int) int { return a + b }",go,5,5,12,0,1,1,12,0
rust_func_254,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,6,4,12,0,0,1,12,0
python_func_255,def read_file(name): file = open(name); return file.read(),python,1,4,18,0,1,2,18,1
java_func_256,"public int divide(int a, int b) { return a / b; }",java,1,2,12,0,1,1,12,1
python_func_257,"def add(a, b): return a + b",python,2,1,12,0,1,0,12,0
c_func_258,"int add(int a, int b) { return a + b; }",c,5,2,11,0,1,1,11,0
go_func_259,"func add(a int, b int) int { return a + b }",go,3,3,12,0,1,1,12,0
rust_func_260,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,4,3,12,0,0,1,12,1
cpp_func_261,"int divide(int a, int b) { return a / b; }",cpp,5,5,11,0,1,1,11,1
python_func_262,"def add(a, b): return a + b",python,4,4,12,0,1,0,12,0
go_func_263,"func divide(a int, b int) int { return a / b }",go,2,3,12,0,1,1,12,1
javascript_func_264,"function add(a, b) { return a + b; }",javascript,1,3,9,0,1,1,9,0
python_func_265,"def add(a, b): return a + b",python,5,1,12,0,1,0,12,0
cpp_func_266,"int divide(int a, int b) { return a / b; }",cpp,1,2,11,0,1,1,11,1
rust_func_267,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,3,5,12,0,0,1,12,0
javascript_func_268,"function divide(a, b) { return a / b; }",javascript,1,1,9,0,1,1,9,1
rust_func_269,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,5,4,12,0,0,1,12,1
javascript_func_270,"function divide(a, b) { return a / b; }",javascript,4,3,9,0,1,1,9,1
java_func_271,"public int add(int a, int b) { return a + b; }",java,2,3,12,0,1,1,12,0
go_func_272,"func divide(a int, b int) int { return a / b }",go,1,4,12,0,1,1,12,1
rust_func_273,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,6,3,12,0,0,1,12,0
go_func_274,"func divide(a int, b int) int { return a / b }",go,6,4,12,0,1,1,12,1
c_func_275,"int add(int a, int b) { return a + b; }",c,2,1,11,0,1,1,11,0
java_func_276,"public int add(int a, int b) { return a + b; }",java,3,4,12,0,1,1,12,0
python_func_277,def read_file(name): file = open(name); return file.read(),python,2,2,18,0,1,2,18,1
java_func_278,"public int add(int a, int b) { return a + b; }",java,3,1,12,0,1,1,12,0
javascript_func_279,"function add(a, b) { return a + b; }",javascript,2,1,9,0,1,1,9,0
go_func_280,"func add(a int, b int) int { return a + b }",go,4,5,12,0,1,1,12,0
rust_func_281,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,5,1,12,0,0,1,12,0
c_func_282,"int add(int a, int b) { return a + b; }",c,6,5,11,0,1,1,11,0
c_func_283,"int divide(int a, int b) { return a / b; }",c,4,4,11,0,1,1,11,1
cpp_func_284,"int divide(int a, int b) { return a / b; }",cpp,1,2,11,0,1,1,11,1
go_func_285,"func divide(a int, b int) int { return a / b }",go,5,2,12,0,1,1,12,1
java_func_286,"public int add(int a, int b) { return a + b; }",java,3,1,12,0,1,1,12,0
go_func_287,"func divide(a int, b int) int { return a / b }",go,4,1,12,0,1,1,12,1
java_func_288,"public int add(int a, int b) { return a + b; }",java,2,3,12,0,1,1,12,0
java_func_289,"public int divide(int a, int b) { return a / b; }",java,3,3,12,0,1,1,12,1
python_func_290,def read_file(name): file = open(name); return file.read(),python,2,3,18,0,1,2,18,1
java_func_291,"public int divide(int a, int b) { return a / b; }",java,3,3,12,0,1,1,12,1
java_func_292,"public int add(int a, int b) { return a + b; }",java,5,4,12,0,1,1,12,0
python_func_293,"def divide(a, b): return a / b",python,1,5,12,0,1,0,12,1
rust_func_294,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,4,3,12,0,0,1,12,0
java_func_295,"public int divide(int a, int b) { return a / b; }",java,3,1,12,0,1,1,12,1
javascript_func_296,"function add(a, b) { return a + b; }",javascript,3,3,9,0,1,1,9,0
python_func_297,"def add(a, b): return a + b",python,5,1,12,0,1,0,12,0
javascript_func_298,"function divide(a, b) { return a / b; }",javascript,4,3,9,0,1,1,9,1
java_func_299,"public int divide(int a, int b) { return a / b; }",java,5,4,12,0,1,1,12,1
c_func_300,"int add(int a, int b) { return a + b; }",c,1,4,11,0,1,1,11,0
rust_func_301,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,2,2,12,0,0,1,12,0
java_func_302,"public int divide(int a, int b) { return a / b; }",java,2,4,12,0,1,1,12,1
cpp_func_303,"int divide(int a, int b) { return a / b; }",cpp,2,1,11,0,1,1,11,1
go_func_304,"func add(a int, b int) int { return a + b }",go,1,5,12,0,1,1,12,0
go_func_305,"func divide(a int, b int) int { return a / b }",go,3,4,12,0,1,1,12,1
c_func_306,"int divide(int a, int b) { return a / b; }",c,2,3,11,0,1,1,11,1
c_func_307,"int divide(int a, int b) { return a / b; }",c,1,4,11,0,1,1,11,1
go_func_308,"func add(a int, b int) int { return a + b }",go,5,5,12,0,1,1,12,0
cpp_func_309,"int add(int a, int b) { return a + b; }",cpp,5,2,11,0,1,1,11,0
c_func_310,"int add(int a, int b) { return a + b; }",c,4,2,11,0,1,1,11,0
go_func_311,"func add(a int, b int) int { return a + b }",go,2,2,12,0,1,1,12,0
python_func_312,"def divide(a, b): return a / b",python,3,1,12,0,1,0,12,1
javascript_func_313,"function add(a, b) { return a + b; }",javascript,3,1,9,0,1,1,9,0
