sha1,file_extension,EntryPoint,PEType,MachineType,magic_number,bytes_on_last_page,pages_in_file,relocations,size_of_header,min_extra_paragraphs,max_extra_paragraphs,init_ss_value,init_sp_value,init_ip_value,init_cs_value,over_lay_number,oem_identifier,address_of_ne_header,Magic,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,OperatingSystemVersion,ImageVersion,SizeOfImage,SizeOfHeaders,Checksum,Subsystem,DllCharacteristics,SizeofStackReserve,SizeofStackCommit,SizeofHeapCommit,SizeofHeapReserve,LoaderFlags,text_VirtualSize,text_VirtualAddress,text_SizeOfRawData,text_PointerToRawData,text_PointerToRelocations,text_PointerToLineNumbers,text_Characteristics,rdata_VirtualSize,rdata_VirtualAddress,rdata_SizeOfRawData,rdata_PointerToRawData,rdata_PointerToRelocations,rdata_PointerToLineNumbers,rdata_Characteristics,registry_read,registry_write,registry_delete,registry_total,network_threats,network_dns,network_http,network_connections,processes_malicious,processes_suspicious,processes_monitored,total_procsses,files_malicious,files_suspicious,files_text,files_unknown,dlls_calls,apis,Class,Category,Family
06066989da8b91961f49bf4f47d33d6ff8752c26,exe,0x2fa7,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x000000E0,PE32,0x00008600,0x00003E00,0x00000000,0x00002FA7,0x00001000,0x0000A000,0x00400000,0x00001000,0x00000200,5.1,0,0x00013000,0x00000400,0x00015AB7,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00008598,0x00001000,0x00008600,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00000E7C,0x0000A000,0x00001000,0x00008A00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",2085.0,0.0,0.0,2207.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,56.0,142.0,1008.0,6.0,155.0,9.0,111.0,Malware,Ransomware,Phobos
4f1d29c78039deee9981e6a9dad33b8d289389d1,exe,0x2d5f,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x000000E8,PE32,0x00011E00,0x0005F800,0x00000000,0x00002D5F,0x00001000,0x00013000,0x00400000,0x00001000,0x00000200,5,0,0x00072000,0x00000400,0x00070AFB,IMAGE_SUBSYSTEM_WINDOWS_GUI,['IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE'],0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00011D82,0x00001000,0x00011E00,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00003F66,0x00013000,0x00004000,0x00012200,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign,Benign
8e9b5cf7b1be0d795d521720a2bf679b42aed991,exe,0x18f2e,PE32+,AMD AMD64,MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32+,0x001B7000,0x00003000,0x00000000,0x00033000,0x00001000,0x0000B000,0x0000000000400000,0x00002000,0x00000200,5.2,0,0x0000A000,0x00000200,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x0000000000100000,0x0000000000001000,0x0000000000001000,0x0000000000100000,0x00000000,0x000ACD90,0x00001000,185344,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0013457A,0x00009000,0x00000200,0x00029800,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",857.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.0,0.0,0.0,3.0,0.0,0.0,135.0,Benign,Benign,Benign
f70a7e39d9a023c6a2345e49ca9b96c219486650,exe,0x450278,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x00104400,0x00000800,0x00000000,0x00450278,0x00002000,0x00108000,0x00400000,0x00002000,0x00000200,4,0,0x0047A000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00104224,0x00002000,0x00000000,0x00000000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00001000,0x00098000,0x00000200,0x00096A00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,1.0,1.0,Benign,Benign,Benign
9e4799784a537b0532675419f4b64e11acc0fe22,exe,0x10156c,PE32,"Intel 386 or later, and compatibles",MZ,0x0050,0x0001,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0xC103,0x0000,0x001A,0x0000,0x000000C8,PE32,0x0040B400,0x0001CC00,0,0x00011023,4096,0x0016C000,4194304,4096,512,5.1,0,0x00005000,0x00000200,0x0004AF86,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,0x00001000,0x00001000,1048576,0,0x00045E54,4096,0x000FBC00,0x00000400,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00035A38,0x001CF000,0x00018400,0x0000F800,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,891.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,43.0,0.0,0.0,2.0,0.0,3.0,0.0,Benign,Benign,Benign
6ce44b9e76d5d9a677d51c003f2a9995c7ef337a,exe,0x42e6,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x000000E0,PE32,0x00003C00,0x00006800,0x00000000,0x000042E6,0x00001000,0x00005000,0x00400000,0x00001000,0x00000200,4,0,0x0000C000,0x00000400,0x009F994D,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00003BF0,0x00001000,0x00003C00,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_LOCKED', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",0x00000018,0x00073000,0x00000200,0x0006E000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_SHARED']",1880.0,0.0,0.0,2867.0,0.0,92.0,19.0,45.0,5.0,0.0,35.0,80.0,12.0,252.0,127.0,173.0,5.0,84.0,Malware,RAT,Remcos
895de2be9025ba0ffb3c975d406637a27450001b,exe,0xa2a36,PE32,"Intel 386 or later, and compatibles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.0,0.0,0.0,360.0,0.0,1.0,0.0,7.0,2.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware,Trojan,Agenttesla
efb90cdc64217b17defda06e020e8cac04dd69f5,exe,0x21db,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0000,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x00047800,0x00061800,0x00006F5E,0x000021DB,0x00001000,0x000A32AE,0x00400000,0x00001000,0x00000200,4,0,0x000B2000,0x00000600,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00047735,0x00001000,0x00047800,0x00000600,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000F204,0x0007A000,0x0000F400,0x00079200,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,3.0,45.0,Benign,Benign,Benign
9b45b3826706337a11e43248095fb2c62e42d14d,exe,0x1257a,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000100,PE32,0x0001D000,0x00093000,0x00000000,0x0001257A,0x00001000,0x0001E000,0x00400000,0x00001000,0x00001000,4,0,0x000B1000,0x00001000,0x00038BB5,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x0001C854,0x00001000,0x0001D000,0x00001000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00004BF8,0x0001E000,0x00005000,0x0001E000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",49.0,0.0,3.0,52.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,39.0,0.0,0.0,0.0,0.0,8.0,127.0,Benign,Benign,Benign
64de98df4dcb21f7153a7963ce52205b0d76dcfa,exe,0x6b16d,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000118,PE32,0x000E4200,0x0005E800,0x00000000,0x0006B16D,0x00001000,0x00001000,0x00400000,0x00001000,0x00000200,6,0,0x001B3000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_CUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x000E4156,0x0006B000,0x000E4200,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00032B7C,0x00150000,0x00032C00,0x000E4600,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,2.0,0.0,12.0,226.0,Benign,Benign,Benign
